Title	Link	Abstract	Author Keywords	Index Keywords
sample selected extreme learning machine based intrusion detection in fog computing and mec	 	fog computing, as a new paradigm, has many characteristics that are different from cloud computing. due to the resources being limited, fog nodes/mec hosts are vulnerable to cyberattacks. lightweight intrusion detection system (ids) is a key technique to solve the problem. because extreme learning machine (elm) has the characteristics of fast training speed and good generalization ability, we present a new lightweight ids called sample selected extreme learning machine (ss-elm). the reason why we propose sample selected extreme learning machine is that fog nodes/mec hosts do not have the ability to store extremely large amounts of training data sets. accordingly, they are stored, computed, and sampled by the cloud servers. then, the selected sample is given to the fog nodes/mec hosts for training. this design can bring down the training time and increase the detection accuracy. experimental simulation verifies that ss-elm performs well in intrusion detection in terms of accuracy, training time, and the receiver operating characteristic (roc) value.		security
providing secure and reliable communication for next generation networks in smart cities	 	finding a framework that provides continuous, reliable, secure and sustainable diversified smart city services proves to be challenging in today's traditional cloud centralized solutions. this article envisions a mobile edge computing (mec) solution that enables node collaboration among iot devices to provide reliable and secure communication between devices and the fog layer on one hand, and the fog layer and the cloud layer on the other hand. the solution assumes that collaboration is determined based on nodes' resource capabilities and cooperation willingness. resource capabilities are defined using ontologies, while willingness to cooperate is described using a three-factor node criteria, namely: nature, attitude and awareness. a learning method is adopted to identify candidates for the service composition and delivery process. we show that the system does not require extensive training for services to be delivered correct and accurate. the proposed solution reduces the amount of unnecessary traffic flow to and from the edge, by relying on node-to-node communication protocols. communication to the fog and cloud layers is used for more data and computing-extensive applications, hence, ensuring secure communication protocols to the cloud. preliminary simulations are conducted to showcase the effectiveness of adapting the proposed framework to achieve smart city sustainability through service reliability and security. results show that the proposed solution outperforms other semi-cooperative and non-cooperative service composition techniques in terms of efficient service delivery and composition delay, service hit ratio, and suspicious node identification.	next generation networks; cloud; fog; sustainable smart city	service composition; intrusion detection; ensemble method; systems
multistage signaling game-based optimal detection strategies for suppressing malware diffusion in fog-cloud-based iot networks	 	we consider the internet of things (iot) with malware diffusion and seek optimal malware detection strategies for preserving the privacy of smart objects in iot networks and suppressing malware diffusion. to this end, we propose a malware detection infrastructure realized by an intrusion detection system (ids) with cloud and fog computing to overcome the ids deployment problem in smart objects due to their limited resources and heterogeneous subnetworks. we then employ a signaling game to disclose interactions between smart objects and the corresponding fog node because of malware uncertainty in smart objects. to minimize privacy leakage of smart objects, we also develop optimal strategies that maximize malware detection probability by theoretically computing the perfect bayesian equilibrium of the game. moreover, we analyze the factors influencing the optimal probability of a malicious smart object diffusing malware, and factors influencing the performance of a fog node in determining an infected smart object. finally, we present a framework to demonstrate a potential and practical application of suppressing malware diffusion in iot networks.	cloud computing; fog computing; internet of things (iot); malware; privacy; signaling game	intrusion detection; information diffusion; things security; internet; propagation; attacks; systems; service; issues; model
anomaly behavior analysis for iot sensors	 	the internet of things (iot) will not only connect computers and mobile devices but also interconnect smart buildings, homes, and cities, as well as electrical grids, gas, and water networks, automobiles, airplanes, etc. iot will lead to the development of a wide range of advanced information services that need to be processed in real time and require large storage and computational power. the integration of iot with fog and cloud computing not only brings the computational requirements but also enables iot services to be pervasive, cost-effective, and accessible from anywhere and at anytime. in any iot application, sensors are indispensable to bring the physical world into the digital world that can be implemented by leveraging fog computing. however, iot sensors will introduce major security challenges as they contribute to a significant increase in the iot attack surface. in this paper, we present a methodology to develop an intrusion detection system on the basis of anomaly behavior analysis to detect when a sensor has been compromised and used to provide misinformation. our preliminary experimental results show that our approach can accurately authenticate sensors on the basis of their behavior and can detect known and unknown sensor attacks with high detection rate and low false alarms.		internet
a new threat intelligence scheme for safeguarding industry 4.0 systems	 	industry 4.0 represents the fourth phase of industry and manufacturing revolution, unique in that it provides internet-connected smart systems, including automated factories, organizations, development on demand, and 'just-in-time' development. industry 4.0 includes the integration of cyber-physical systems (cpss), internet of things (iot), cloud and fog computing paradigms for developing smart systems, smart homes, and smart cities. given industry 4.0 is comprised sensor fields, actuators, fog and cloud processing paradigms, and network systems, designing a secure architecture faces two major challenges: handling heterogeneous sources at scale and maintaining security over a large, disparate, data-driven system that interacts with the physical environment. this paper addresses these challenges by proposing a new threat intelligence scheme that models the dynamic interactions of industry 4.0 components including physical and network systems. the scheme consists of two components: a smart management module and a threat intelligence module. the smart data management module handles heterogeneous data sources, one of the foundational requirements for interacting with an industry 4.0 system. this includes data to and from sensors, actuators, in addition to other forms of network traffic. the proposed threat intelligence technique is designed based on beta mixture-hidden markov models (mhmms) for discovering anomalous activities against both physical and network systems. the scheme is evaluated on two well-known datasets: the cps dataset of sensors and actuators and the unsw-nb15 dataset of network traffic. the results reveal that the proposed technique outperforms five peer mechanisms, suggesting its effectiveness as a viable deployment methodology in real-industry 4.0 systems.	industry 4.0; threat intelligence; cyber-attacks; cyber-physical systems (cps); internet of things (iot); cloud; fog; beta mixture-hidden markov models (mhmm)	big data analytics; intrusion detection; security; generation; prevention; algorithms; framework; internet
a fog computing based system for selective forwarding detection in mobile wireless sensor networks	 	intrusions detection is one of the major issues that worry organizations in wireless sensor networks (wsns). many researchers have dealt with this problem and have proposed many methods for detecting different kinds of intrusions such as selective forwarding, which is a serious attack that may obstruct communications in wsns. however, as the applications of mobile computing, vehicular networks, and internet of things (iot) are spreading immensely, selective forwarding detection in mobile wireless sensor networks (mwsns) has become a key demand. this paper introduces the problem of selective forwarding in mwsns, and discusses how available techniques for mitigation this problem in wsns are not applicable in handling the problem in mwsns due to sensors mobility. therefore, the paper proposes a model that provides a global monitoring capability for tracing moving sensors and detecting malicious ones. the model leverages the infrastructure of fog computing to achieve this purpose. furthermore, the paper provides a complete algorithm, a comprehensive discussion and experiments that show the correctness and importance of the proposed approach.	fog computing; intrusion detection; selective forwarding; mobile wireless sensor networks; information security	
a lightweight perceptron-based intrusion detection system for fog computing	 	fog computing is a paradigm that extends cloud computing and services to the edge of the network in order to address the inherent problems of the cloud, such as latency and lack of mobility support and location-awareness. the fog is a decentralized platform capable of operating and processing data locally and can be installed in heterogeneous hardware which makes it ideal for internet of things (iot) applications. intrusion detection systems (idss) are an integral part of any security system for fog and iot networks to ensure the quality of service. due to the resource limitations of fog and iot devices, lightweight ids is highly desirable. in this paper, we present a lightweight ids based on a vector space representation using a multilayer perceptron (mlp) model. we evaluated the presented ids against the australian defense force academy linux dataset (adfa-ld) and australian defense force academy windows dataset (adfa-wd), which are new generation system calls datasets that contain exploits and attacks on various applications. the simulation shows that by using a single hidden layer and a small number of nodes, we are able to achieve a 94% accuracy, 95% recall, and 92% f1-measure in adfa-ld and 74% accuracy, 74% recall, and 74% f1-measure in adfa-wd. the performance is evaluated using a raspberry pi.	fog computing; intrusion detection; iot security; multilayer perceptron	anomaly detection; security; communication; internet
design of cognitive fog computing for intrusion detection in internet of things	 	internet of things (iot) is penetrating into every aspect of our lives including our body, our home and our living environment along with numerous security challenges. with rapidly growing number of connected devices in iot, the scope for cyber-attack also increases exponentially. therefore an effective intrusion detection system (ids) is needed to efficiently detect the attack at faster rate in highly scalable and dynamic iot environment. in this paper, a novel intrusion detection technique is proposed based on fog computing using online sequential extreme learning machine (os-elm) which can intelligently interpret the attacks from the iot traffic. in the proposed system, the existing centralized cloud intelligence in detecting the attack is distributed to local fog nodes to detect the attack at faster rate for iot application. the distributed architecture of fog computing enables distributed intrusion detection mechanism with scalability, flexibility and interoperability. the analysis of the proposed system proves to be efficient in terms of response time and detection accuracy.	extreme learning machine; fog computing; internet of things (iot); intrusion detection system	security; privacy; machine
outlier dirichlet mixture mechanism: adversarial statistical learning for anomaly detection in the fog	 	current anomaly detection systems (adss) apply statistical and machine learning algorithms to discover zero-day attacks, but such algorithms are vulnerable to advanced persistent threat actors. in this paper, we propose an adversarial statistical learning mechanism for anomaly detection, outlier dirichlet mixture-based ads (odm-ads), which has three new capabilities. first, it can self-adapt against data poisoning attacks that inject malicious instances in the training phase for disrupting the learning process. second, it establishes a statistical legitimate profile and considers variations from the baseline of the profile as anomalies using a proposed outlier function. third, to deal with dynamic and large-scale networks such as internet of things and cloud and fog computing, we suggest a framework for deploying the mechanism as software as a service in the fog nodes. the fog enables the proposed mechanism to concurrently process streaming data at the edge of the network. the odm-ads mechanism is evaluated using both nsl-kdd and unsw-nb15 datasets, whose findings indicate that odm-ads outperforms seven other peer algorithms in terms of accuracy, detection rates, false positive rates, and computational time.	adversarial statistical/machine learning; outlier detection; dirichlet mixture model; anomaly detection; fog computing	intrusion detection system; cloud; security; prevention; attacks; models
a fog-based privacy-preserving approach for distributed signature-based intrusion detection	 	intrusion detection systems (idss) are the frontier of defense against transmissible cyber threats that spread across distributed systems. modern idss overcome the limitation of hardware processing power by offloading computation extensive operations such as signature matching to the cloud. moreover, in order to prevent the rapid spread of transmissible cyber threats, collaborative intrusion detection schemes are widely deployed to allow distributed ids nodes to exchange information with each other. however, no party wants to disclose their own data during the detection process, especially sensitive user data to others, even the cloud providers for privacy concerns. in this background, privacy-preserving technology has been researched in the field of intrusion detection, whereas a collaborative intrusion detection network (cidn) environment still lacks of appropriate solutions due to its geographical distribution. with the advent of fog computing, in this paper, we propose a privacy-preserving framework for signature based intrusion detection in a distributed network based on fog devices. the results in both simulated and real environments demonstrate that our proposed framework can help reserve the privacy of shared data, reduce the workload on the cloud side, and offer less detection delay as compared to similar approaches. (c) 2018 elsevier inc. all rights reserved.	collaborate network; privacy preserving; intrusion detection; cloud environment; fog computing	trust management; anomaly detection; detection systems; filter; cloud; mechanism; networks; secure
hypergraph clustering model-based association analysis of ddos attacks in fog computing intrusion detection system	 	the birth of fog computing has given rise to many security threats. distributed denial of service (ddos) attacks by intruders on fog nodes will cause system resources to be illegally appropriate. intrusion detection system (ids) is a powerful technology that can be used to resist ddos attacks. in our previous research, we have proposed a fog computing intrusion detection system (fc-ids) framework. in this paper, we mainly analyze and model the ddos attacks under the framework of fc-ids. we propose a hypergraph clustering model based on apriori algorithm. this model can effectively describe the association between fog nodes which are suffering from the threat of ddos. through simulation, we verify that the resource utilization rate of the system can be effectively promoted through the ddos association analysis.	ddos; fog computing; hypergraph theory; intrusion detection system; association analysis	internet; security
deep recurrent neural network for iot intrusion detection system	 	as a results of the large scale development of the internet of things (iot), cloud computing capabilities including networking, data storage, management, and analytics are brought very close to the edge of networks forming fog computing and enhancing transferring and processing of tremendous amount of data. as the internet becomes more deeply integrated into our business operations through iot platform, the desire for reliable and efficient connections increases as well. fog and cloud security is a topical issue associated with every data storage, managing or processing paradigm. attacks once occurred, have ineradicable and disastrous effects on the development of iot, fog, cloud computing. therefore, many security systems/models have been proposed and/or implemented for the sake of fog security. intrusion detection systems are one of the premier choices especially ones that designed using artificial intelligence. in our paper, we presented an artificially full-automated intrusion detection system for fog security against cyber-attacks. the proposed model uses multi-layered of recurrent neural networks designed to be implemented for fog computing security that is very close to the end-users and iot devices. we demonstrated our proposed model using a balanced version of the challenging dataset: nsl-kdd. the performance of our model was measured using a variety of typical metrics, and we add two additional metrics: mathew correlation and cohen's kappa coefficients for deeper insight. where the experimental results and simulations proved the stability and robustness of the proposed model in terms of a variety of performance metrics.	internet of things; intrusion detection; kalman filter; iot; recursive network	
a novel ad-hoc mobile edge cloud offering security services through intelligent resource-aware offloading	 	while the usage of smart devices is increasing, security attacks and malware affecting such terminals are briskly evolving as well. mobile security suites exist to defend devices against malware and other intrusions. however, they require extensive resources not continuously available on mobile terminals, hence affecting their relevance, efficiency and sustainability. in this paper, we address the aforementioned problem while taking into account the devices limited resources such as energy and cpu usage as well as the mobile connectivity and latency. in this context, we propose an ad-hoc mobile edge cloud that takes advantage of wi-fi direct as means of achieving connectivity, sharing resources, and integrating security services among nearby mobile devices. the proposed scheme embeds a multi-objective resource-aware optimization model and genetic-based solution that provide smart offloading decision based on dynamic profiling of contextual and statistical data from the ad-hoc mobile edge cloud devices. the carried experiments illustrate the relevance and efficiency of exchanging security services while maintaining their sustainability with or without the availability of internet connection. moreover, the results provide optimal offloading decision and distribution of security services while significantly reducing energy consumption, execution time, and number of selected computational nodes without sacrificing security.	cloud computing; mobile handsets; intrusion detection; performance evaluation; servers; ad hoc networks; smart offloading; resource-aware service offloading; ad-hoc mobile edge cloud; edge computing; cloud computing; mobile computing; sustainable security services; security-as-a-service; intrusion detection	genetic algorithm; platform; malware
rad-ei: a routing attack detection scheme for edge-based internet of things environment	 	internet of things (iot) offers various types of application services in different domains, such as smart infrastructure, health-care, critical infrastructure, and intelligent transportation system. the name edge computing signifies a corner or edge in a network at which traffic enters or exits from the network. in edge computing, the data analysis task happens very close to the iot smart sensors and devices. edge computing can also speed up the analysis process, which allows decision makers to take action within a short duration of time. however, edge-based iot environment has several security and privacy issues similar to those for the cloud-based iot environment. various types of attacks, such as replay, man-in-the middle, impersonation, password guessing, routing attack, and other denial of service attacks may be possible in edge-based iot environment. the routing attacker nodes have the capability to deviate and disrupt the normal flow of traffic. these malicious nodes do not send packets (messages) to the edge node and only send packets to its neighbor collaborator attacker nodes. therefore, in the presence of such kind of routing attack, edge node does not get the information or sometimes it gets the partial information. this further affects the overall performance of communication of edge-based iot environment. in the presence of such an attack, the throughput of the network decreases, end-to-end delay increases, packet delivery ratio decreases, and other parameters also get affected. consequently, it is important to provide solution for such kind of attack. in this paper, we design an intrusion detection scheme for the detection of routing attack in edge-based iot environment called as rad-ei. we simulate rad-ei using the widely used ns2 simulator to measure different network parameters. furthermore, we provide the security analysis of rad-ei to prove its resilience against routing attacks. rad-ei accomplishes around 95.0% detection rate and 1.23% false positive rate that are notably better than other related existing schemes. in addition, rad-ei is efficient in terms of computation and communication costs. as a result, rad-ei is a good match for some critical and sensitive applications, such as smart security and surveillance system.	edge computing; intrusion detection; iot; ns2; routing attack; security	user authentication scheme; wireless sensor networks; intrusion detection; anomaly detection; sinkhole attacks; security; iot; performance
adaptive machine learning-based alarm reduction via edge computing for distributed intrusion detection systems	 	to protect assets and resources from being hacked, intrusion detection systems are widely implemented in organizations around the world. however, false alarms are one challenging issue for such systems, which would significantly degrade the effectiveness of detection and greatly increase the burden of analysis. to solve this problem, building an intelligent false alarm filter using machine learning classifiers is considered as one promising solution, where an appropriate algorithm can be selected in an adaptive way in order to maintain the filtration accuracy. by means of cloud computing, the task of adaptive algorithm selection can be offloaded to the cloud, whereas it could cause communication delay and increase additional burden. in this work, motivated by the advent of edge computing, we propose a framework to improve the intelligent false alarm reduction for dids based on edge computing devices. our framework can provide energy efficiency as the data can be processed at the edge for shorter response time. the evaluation results demonstrate that our framework can help reduce the workload for the central server and the delay as compared to the similar studies.	distributed system; edge computing; intelligent false alarm filter; intrusion detection; machine learning	trust management; privacy; networks; attacks; secure
towards the transversal detection of ddos network attacks in 5g multi-tenant overlay networks	 	currently, there is no any effective security solution which can detect cyber-attacks against 5g networks where multitenancy and user mobility are some unique characteristics that impose significant challenges over such security solutions. this paper focuses on addressing a transversal detection system to be able to protect at the same time, infrastructures, tenants and 5g users in both edge and core network segments of the 5g multi-tenant infrastructures. a novel approach which significantly extends the capabilities of a commonly used ids, to accurately identify attacking nodes in a 5g network, regardless of multiple network traffic encapsulations, has been proposed in this paper. the proposed approach is suitable to be deployed in almost all 5g network segments including the mobile edge computing. both architectural design and data models are described in this contribution. empirical experiments have been carried out a realistic 5g multi-tenant infrastructures to intensively validate the design of the proposed approach regarding scalability and flexibility. (c) 2018 elsevier ltd. all rights reserved.	ddos attack; multi-tenant; 5g network; security; intrusion detection system	anomaly detection; system
smart audio sensors in the internet of things edge for anomaly detection	 	everyday objects are becoming smart enough to directly connect to other nearby and remote objects and systems. these objects increasingly interact with machine learning applications that perform feature extraction and model inference in the cloud. however, this approach poses several challenges due to latency, privacy, and dependency on network connectivity between data producers and consumers. to alleviate these limitations, computation should be moved as much as possible towards the iot edge, that is on gateways, if not directly on data producers. in this paper, we propose a design framework for smart audio sensors able to record and pre-process raw audio streams, before wirelessly transmitting the computed audio features to a modular iot gateway. in this paper, an anomaly detection algorithm executed as a micro-service is capable of analyzing the received features, hence detecting audio anomalies in real-time. first, to assess the effectiveness of the proposed solution, we deployed a real smart environment showcase. more in detail, we adopted two different anomaly detection algorithms, namely elliptic envelope and isolation forest, that were purposely trained and deployed on an affordable iot gateway to detect anomalous sound events happening in an office environment. then, we numerically compared both the deployments, in terms of end-to-end latency and gateway cpu load, also deriving some ideal capacity bounds.	anomaly detection; digital signal processing; edge computing; embedded devices; internet of things; iot gateway; machine learning; novelty detection; open-source platforms; outlier detection	network intrusion detection; scale
a novel differential game model-based intrusion response strategy in fog computing	 	fog computing is an emerging network paradigm. due to its characteristics (e.g., geo-location and constrained resource), fog computing is subject to a broad range of security threats. intrusion detection system (ids) is an essential security technology to deal with the security threats in fog computing. we have introduced a fog computing ids (fc-ids) framework in our previous work. in this paper, we study the optimal intrusion response strategy in fog computing based on the fc-ids scheme proposed in our previous work. we postulate the intrusion process in fog computing and describe it with a mathematical model based on differential game theory. according to this model, the optimal response strategy is obtained corresponding to the optimal intrusion strategy. theoretical analysis and simulation results demonstrate that our security model can effectively stabilize the intrusion frequency of the invaders in fog computing.		
