Title	Link	Abstract	Author Keywords	Index Keywords
Privacy-Preserving Distributed IDS using Incremental Learning for IoT Health Systems	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099575439&doi=10.1109%2fACCESS.2021.3051530&partnerID=40&md5=a6e4dadf9f3e6c3ad14191b2151c3376	Existing techniques for incremental learning are computationally expensive and produce duplicate features leading to higher false positive and true negative rates. We propose a novel privacy-preserving intrusion detection pipeline for distributed incremental learning. Our pre-processing technique eliminates redundancies and selects unique features by following innovative extraction techniques. We use autoencoders with non-negativity constraints, which help us extract less redundant features. More importantly, the distributed intrusion detection model reduces the burden on the edge classifier and distributes the load among IoT and edge devices. Theoretical analysis and numerical experiments have shown lower space and time costs than state of the art techniques, with comparable classification accuracy. Extensive experiments with standard data sets and real-time streaming IoT traffic give encouraging results. CCBY	Data models; Deep learning; Deep Learning; Feature extraction; Incremental Learning; Internet of Things (IoT); Intrusion detection; Intrusion Detection System (IDS); pre-processing; Real-time systems; Security; Task analysis	Intrusion detection; Learning systems; Network security; Privacy by design; Classification accuracy; Distributed intrusion detection; Extraction techniques; Incremental learning; Non-negativity constraints; Numerical experiments; State-of-the-art techniques; True negative rates; Internet of things
Early DGA-based botnet identification: pushing detection to the edges	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098689743&doi=10.1007%2fs10586-020-03213-z&partnerID=40&md5=2f381a4e9b95935d4d45d71c3a372141	With the first commercially available 5G infrastructures, worldwide’s attention is shifting to the next generation of theorised technologies that might be finally deployable. In this context, the cybersecurity of edge equipment and end-devices must be a top priority as botnets see their spread remarkably increase. Most of them rely on algorithmically generated domain names (AGDs) to evade detection and remain shrouded from intrusion detection systems, via the so-called Domain Generation Algorithm (DGA). Despite the issue, by applying concepts such as distributed computing and federated learning, the cybersecurity community has prototyped and developed dynamic and scalable solutions that leverage the increased capabilities and connectivity of edge devices. This article proposes a lightweight and privacy-preserving framework that pushes the intelligence modules to the edges aiming to achieve early DGA-based botnet detection in mobile and edge-oriented scenarios. Experimental results prove the deployability of such architecture at all levels, including resource-constrained end-devices. © 2021, Springer Science+Business Media, LLC, part of Springer Nature.	5G; Cybersecurity; Domain Generation Algorithm (DGA); Edge artificial intelligence; Federated learning; Machine learning	Botnet; Intrusion detection; Privacy by design; Botnet detections; Cyber security; Deployability; Domain names; Generation algorithm; Intrusion Detection Systems; Privacy preserving; Scalable solution; 5G mobile communication systems
Collaborative intrusion detection system in cognitive smart city network (CSC-Net)	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100421747&doi=10.4018%2fIJKSS.2021010105&partnerID=40&md5=7b4196eb7ac6e98a947d979eb93c5afd	Smart environment is about incorporating smart thinking in the environment and implementing the technical intervention that improvise the city's environment. Artificial intelligence (AI) provides solutions in huge technological issues in various aspects of day-to-day life such as autonomous transportation, governance, healthcare, agriculture, maintenance, logistics, and education that are automated, managed, controlled, and accessed remotely with the aid of smart devices. Cognitive computing is denoted as a next-generation AI-dependent method that gives human-computer interactions with personalized services that replicate manual behavior. Simultaneously, massive data is generated from the applications of the smart city like smart transportation, retail industry, healthcare, and governance. It is necessary to obtain a reliable, sustainable, continuous, and secure framework in the cloud centralized infrastructure. In this research article, the authors proposed the architecture of cognitive smart city network (CSC-Net) that defines how data are collected from applications of smart city and scrutinized by cognitive computing. This research article predicts the mobile edge computing solution (MEC) that permits node collaboration between internet of things (IoT) devices for providing secure and reliable communication among smart devices and fog layer, conversely fog layer and cloud layer. This proposed work helps to reduce the excessive traffic flow in smart environment with the support of node to node communication protocols. Collaborative-dependent intrusion detection system (C-IDS) is proposed to solve the data security issues in fog and cloud layers. Copyright © 2021, IGI Global. Copying or distributing in print or electronic forms without written permission of IGI Global is prohibited.	Artificial Intelligence (AI); Cognitive Smart City Network (CSC-Net); Internet of Things (IoT); Mobile Edge Computing Solution (MEC); Smart environment	
Design and implementation of virtual security function based on multiple enclaves	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099786245&doi=10.3390%2ffi13010012&partnerID=40&md5=5c4d1c68d10e44462016e21b2edbde4b	Network function virtualization (NFV) provides flexible and scalable network function for the emerging platform, such as the cloud computing, edge computing, and IoT platforms, while it faces more security challenges, such as tampering with network policies and leaking sensitive processing states, due to running in a shared open environment and lacking the protection of proprietary hardware. Currently, Intel® Software Guard Extensions (SGX) provides a promising way to build a secure and trusted VNF (virtual network function) by isolating VNF or sensitive data into an enclave. However, directly placing multiple VNFs in a single enclave will lose the scalability advantage of NFV. This paper combines SGX and click technology to design the virtual security function architecture based on multiple enclaves. In our design, the sensitive modules of a VNF are put into different enclaves and communicate by local attestation. The system can freely combine these modules according to user requirements, and increase the scalability of the system while protecting its running state security. In addition, we design a new hot-swapping scheme to enable the system to dynamically modify the configuration function at runtime, so that the original VNFs do not need to stop when the function of VNFs is modified. We implement an IDS (intrusion detection system) based on our architecture to verify the feasibility of our system and evaluate its performance. The results show that the overhead introduced by the system architecture is within an acceptable range. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.	Click; Enclave; Hot swapping; NFV; SGX	Computer architecture; Data privacy; Intrusion detection; Network function virtualization; Scalability; Transfer functions; Architecture-based; Configuration function; Design and implementations; IDS(intrusion detection system); Scalable networks; Security challenges; System architectures; User requirements; Network security
4th International Conference on Inventive Communication and Computational Technologies, ICICCT 2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092090415&partnerID=40&md5=71d4c40d75fd65c9a2831c8a0594e267	The proceedings contain 84 papers. The special focus in this conference is on Inventive Communication and Computational Technologies. The topics include: Iot-based wardrobe and steel closet theft detector; intrusion detection and prevention systems: A review; a novel task scheduling model for fog computing; a bidirectional power converter with shunt active filter for electric vehicle grid integration; formal verification of iot protocol: In design-time and run-time perspective; automatic network scanning system for monitoring 4g and 5g network elements; comparative study of introducing wavelength converters in pre-configured (p)-cycle; a novel approach to reduce false-negative alarm rate in network-based intrusion detection system using linear discriminant analysis; a low cost iot enabled device for monitoring agriculture field and smart irrigation system; deep network for network intrusion with concept drift; agro advisory system using big data analytics; paillier homomorphic encryption with K-means clustering algorithm (phekc) for data mining security in cloud; portax secure automation system using iot—a survey; a review paper on the elimination of low-order harmonics in multilevel inverters using different modulation techniques; lna architectures for ecg analog front end in cmos technology; community detection using graphical relationships; big data technologies: A comprehensive survey; preface; mathematical modeling of the data processing problems of heat experiments based on multiprocessor computing complexes; automatic face recognition and finding occurrence of actors in movies; Signature forgery recognition using CNN; image sentiment analysis using deep learning; fake news detection using passive-aggressive classifier; recurrent neural network-based character recognition system for tamil palm leaf manuscript using stroke zoning.		
A novel distributed training on fog node in IoT backbone networks for security	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085488173&doi=10.1007%2fs00500-020-05047-8&partnerID=40&md5=b949af8dc49d28e4fee7bbd3d6a1eb95	Security is a significant issue with ubiquitous connectivity, more so with the widespread adoption of Internet of Things (IoT). The novelty of attacks with each passing day poses a conundrum to the organizations and sectors deploying the IoT. The fact remains that conventional cybersecurity frameworks face the trouble of distinguishing unknown attacks in most scenarios. Recent studies explore the endless capabilities of machine learning (ML) in reinstating the security of the IoT infrastructure. ML includes the capability of self-study and training for discovering the path for security breach and attack detection. The training methodology and progression in ML is superior to centralized detection systems. A novel methodology of distributed training on fog node in the IoT architecture with exchange of parameters (DT-FN) enhancement of intelligence through machine learning is proposed in this paper. The analyses have demonstrated that appropriated assault recognition framework has outsmarted the incorporated discovery frameworks utilizing ML model. Intrusion detection system of IoT has been incorporated on DL for more effectiveness and identification of higher level security threats. Target prejudgement-based interruption identification framework for IoT has also been discussed. The key metrics that are considered are detection rate, detection accuracy, false alarm rate, F1 measurement, precision and recall. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.	Distributed training on fog node (DT-FN); Intrusion detection systems (IDS); Machine learning (ML)	Intrusion detection; Machine learning; Centralized detections; Detection accuracy; Discovery frameworks; Higher-level security; Internet of Things (IOT); Intrusion Detection Systems; Precision and recall; Security breaches; Internet of things
PHYAlert: identity spoofing attack detection and prevention for a wireless edge network	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078406084&doi=10.1186%2fs13677-020-0154-7&partnerID=40&md5=7bfed2cb2ccd081902e5eb7195107fe8	Delivering service intelligence to billions of connected devices is the next step in edge computing. Wi-Fi, as the de facto standard for high-throughput wireless connectivity, is highly vulnerable to packet-injection-based identity spoofing attacks (PI-ISAs). An attacker can spoof as the legitimate edge coordinator and perform denial of service (DoS) or even man-in-the-middle (MITM) attacks with merely a laptop. Such vulnerability leads to serious systematic risks, especially for the core edge/cloud backbone network.In this paper, we propose PHYAlert, an identity spoofing attack alert system designed to protect a Wi-Fi-based edge network. PHYAlert profiles the wireless link with the rich dimensional Wi-Fi PHY layer information and enables real-time authentication for Wi-Fi frames. We prototype PHYAlert with commercial off-the-shelf (COTS) devices and perform extensive experiments in different scenarios. The experiments verify the feasibility of spoofing detection based on PHY layer information and show that PHYAlert can achieve an 8x improvement in the false positive rate over the conventional signal-strength-based solution. © 2020, The Author(s).	Channel state information; Identity spoofing attack; Wi-Fi; Wireless intrusion detection	Channel state information; Commercial off-the-shelf; Denial-of-service attack; Intrusion detection; Network security; Wireless local area networks (WLAN); Commercial off the shelf devices; De facto standard; Denial of Service; False positive rates; Man in the middles (MITM); Spoofing attacks; Wireless connectivities; Wireless intrusion detections; Wi-Fi
DIVANet 2020 - Proceedings of the 10th ACM Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096964490&partnerID=40&md5=c5bb63e430d48d7fba815056748cba59	The proceedings contain 9 papers. The topics discussed include: edge computing for video analytics in the internet of vehicles with blockchain; real-time low-pixel infrared human detection from unmanned aerial vehicles; a multi-stack simulation framework for vehicular applications testing; advanced models for the simulation of AGV communication in industrial environments: model proposal and demonstration; trustworthy traffic information sharing secured via blockchain in VANETs; machine learning-based intrusion detection system for controller area networks; vehicle fusion positioning model based on CSI; reactive overlays for adaptive routing in mobile ad hoc networks; and machine learning for self-adaptive Internet of underwater things.		
Semisupervised-Learning-Based Security to Detect and Mitigate Intrusions in IoT Network	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094119775&doi=10.1109%2fJIOT.2020.2993410&partnerID=40&md5=73c5b341d2fd4f5f17fba32a4294a7a2	Our world is moving toward an Internet of Things (IoT) era by connecting billions of IoT. There are several security loopholes in the IoT network. Intrusion can lead to performance degradation and pose a threat to data security. Hence, there is a need for a method to detect intrusion in the IoT networks. Existing solutions use supervised-learning-based intrusion detection methods that need a huge labeled data set for better accuracy. It is not easy to source out a huge labeled data set because the size of the IoT network is huge. To overcome some of the impediments in the existing solutions, we propose a novel SDRK machine learning (ML) algorithm to detect intrusion. SDRK leverages supervised deep neural networks (DNNs) and unsupervised clustering techniques. The intrusion detection and mitigation algorithms are placed in the fog nodes that are between IoT and cloud layers. We test our proposed methodology against the data deluge (DD) attack in the testbed. The SDRK model is tested on the benchmark NSL-KDD data set. We compare the results with state-of-the-art solutions. When testing with the NSL-KDD data set, we find that SDRK detects the attacks with improved accuracy of 99.78%. © 2014 IEEE.	Data deluge (DD) attack; fog computing; Internet of Things (IoT); intrusion; security; semisupervised learning	Deep learning; Deep neural networks; Intrusion detection; Labeled data; Learning systems; Network security; Statistical tests; Supervised learning; Cloud layers; Data set; Internet of Things (IOT); Intrusion detection method; IOT networks; Performance degradation; State of the art; Unsupervised clustering technique; Internet of things
Trustworthy and sustainable smart city services at the edge	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088914322&doi=10.1016%2fj.scs.2020.102394&partnerID=40&md5=fa49f52129c199af1bec920470e95341	The proliferation of smart city and Internet of Things (IoT) applications has introduced numerous challenges related to network performance, reliability, and security. Moreover, the distributed nature of the smart city and IoT infrastructure hs led to issues in regards to service availability, reliability, sustainability and security. Edge computing provides a decentralized computing and communication framework for different types of applications such as intelligent transportation systems, cognitive assistance, health and social services. Edge computing helps in improving the performance of such applications and reduces the end-to-end latency incurred for such time-critical applications. In this article, we introduce a trustworthy smart city service delivery solution at the edge of the network. The solution uses a collaborative technique between distributed edge servers and privacy mediator nodes with the support of an intrusion detection system to enhance the availability, reliability and security of smart city applications. Simulation results show a reduction in the delay per service request by 39.2% for highly dense environments, and up to 62.6% for lightly dense environments. Moreover, the solution reduces the dropped service requests below 2% with high accuracy and detection rates and low false-negative rates. © 2020 Elsevier Ltd	Availability; Edge computing; Internet of things; Reliability; Security; Smart city; Sustainability	Cognitive systems; Edge computing; Intelligent systems; Internet of things; Intrusion detection; Quality of service; Reliability; Smart city; Cognitive assistance; Collaborative technique; Communication framework; End to end latencies; Intelligent transportation systems; Internet of Things (IOT); Intrusion Detection Systems; Time-critical applications; Network security
